tiempo;valor;maker;bp;dx;sq;ma
131.43;1.6796875;0;0.01238833;-2.68997891;7.235986536;2.621429648
132.505;1.6796875;1;7.78E-05;1.770101701;3.133260032;0.861680361
132.51;1.6796875;0;0.008928346;1.787846656;3.196395666;0.965836589
132.515;1.6796875;0;0.017867579;1.647251504;2.713437518;1.046233529
132.525;1.6796875;0;0.032867446;0.927591823;0.86042659;1.043753523
133.515;1.6796875;1;-0.002621642;-2.413890393;5.826866829;0.836225019
134.225;1.6796875;0;0.026666428;-2.490619183;6.203183916;94.60838382
135.305;1.6796875;0;0.021066223;-1.974073179;3.896964916;43.6465592
135.32;1.6796875;0;-0.007771219;-1.514640936;2.294137165;19.05047496
136.405;1.6796875;0;-0.024609388;0.043295445;0.001874496;5.436702381
136.985;1.6796875;0;0.032932377;5.03721911;25.37357636;3.340958142
137.265;1.6796875;0;-0.000704617;0.459536085;0.211173414;67.23907335
138.335;1.6796875;0;-0.016326076;0.235354407;0.055391697;1.659833685
138.4;1.6796875;1;0.044847713;-1.281852869;1.643146777;1.23299508
138.92;1.6796875;1;0.103373089;0.512313849;0.26246548;4.511954338
139.235;1.6796875;0;0.001007645;-1.956055563;3.826153366;20.05691699
140.15;1.6796875;0;0.022773586;-3.487933701;12.1656815;79.09768532
140.18;1.6796875;0;-0.056598643;-0.818262442;0.669553423;45.22414075
141.145;1.6796875;0;-0.023146145;-0.652544978;0.425814949;14.10569908
141.18;1.6796875;0;-0.018008702;1.04367251;1.089252309;1.940236118
141.73;1.6796875;0;0.071212131;3.896563357;15.18320599;4.222237737
143.005;1.6796875;0;-0.006148885;-1.392981285;1.940396861;18.55654891
143.01;1.6796875;0;-0.013113792;-1.103935454;1.218673486;15.46046698
143.04;1.6796875;0;-0.023980499;0.328002886;0.107585893;5.670139386
145.06;1.6796875;0;0.034038275;-3.048356255;9.292475855;1.950097386
145.065;1.6796875;0;0.018796493;-3.1352768;9.829960613;2.277762739
145.935;1.6796875;0;-0.01099347;-1.185817656;1.406163513;13.90585686
146.545;1.6796875;0;0.077393388;3.142528114;9.87548295;4.707603203
146.55;1.6796875;0;0.093106029;1.58933227;2.525977066;4.777882415
147.07;1.6796875;0;-0.002294837;1.421659569;2.02111593;2.519067043
147.135;1.6796875;0;0.01831265;-0.124631119;0.015532916;1.846754803
147.155;1.6796875;0;0.009770816;-0.84337026;0.711273396;1.199511355
147.185;1.6796875;0;-0.010286451;-0.043242037;0.001869874;0.768720723
147.215;1.6796875;0;-0.005345421;-0.005921649;3.51E-05;0.266914026
147.3;1.6796875;0;0.006450863;-0.258846872;0.067001703;0.17760616
147.305;1.6796875;0;0.005156629;-0.321916145;0.103630004;0.15735138
147.37;1.6796875;0;0.017320012;-0.450469857;0.202923092;0.144009239
147.875;1.6796875;1;-0.030143049;0.067448531;0.004549304;3.574001957
148.935;1.6796875;0;0.039941289;-1.893027254;3.583552184;1.397730915
149.455;1.6796875;0;0.075569103;3.966811568;15.73559401;5.030684965
149.86;1.6796875;1;0.004658602;1.767033041;3.12240577;1.267784038
149.865;1.6796875;0;0.013493767;1.926187189;3.710197087;1.352804436
149.88;1.6796875;0;0.040850287;1.175913338;1.382772179;1.501985271
150.7;1.6796875;0;0.026049036;0.720601491;0.519266509;52.02363785
150.71;1.6796875;0;0.029738523;-0.664380076;0.441400885;48.68804788
151.67;1.6796875;0;0.001038161;-1.790146651;3.204625033;21.0755187
153.545;1.6796875;0;0.011600323;1.04347252;1.0888349;60.23672583
153.555;1.6796875;0;0.022547851;0.925212034;0.856017307;50.5094348
153.865;1.6796875;0;0.017894542;-0.166377071;0.02768133;1.64766129
153.88;1.6796875;0;0.013758022;-0.471179228;0.222009865;1.075332994
153.905;1.6796875;1;0.000164501;-0.520991548;0.271432194;0.502367443
154.25;1.6796875;0;0.097805454;1.424489528;2.029170416;3.801610004
156.185;1.6796875;0;0.038999386;4.930669915;24.31150581;3.410151255
156.48;1.6796875;0;0.023155073;0.912526175;0.832704021;59.62738899
156.49;1.6796875;0;0.02916187;-0.424670453;0.180344993;58.49232275
156.495;1.6796875;0;0.027038518;-1.09085172;1.189957475;57.10398448
156.655;1.6796875;0;0.009384087;-2.42214994;5.866810331;1.544611002
157.22;1.6796875;0;0.004143708;-4.090593943;16.73295881;9.181293677
158.21;1.6796875;0;0.047148495;-4.577247924;20.95119856;5.58448299
158.515;1.6796875;1;-0.017302836;-0.046921806;0.002201656;12.36196668
159.34;1.6796875;0;0.031391593;-16.83295074;283.3482306;69.76707182
160.145;1.6796875;0;0.089030216;0.889170141;0.790623539;3.115056192
160.47;1.6796875;0;-0.013946903;-0.977373771;0.955259488;12.52297465
161.565;1.6796875;0;0.008157373;-2.496047438;6.230252812;1.806958748
162.415;1.6796875;0;-0.020854572;0.459473219;0.211115639;9.794842536
163.045;1.6796875;0;0.029750876;-4.865311186;23.67125293;8.491262712
163.32;1.6796875;1;0.02391784;-1.936776562;3.751103452;47.00421007
164.34;1.6796875;0;-0.022030233;0.365620633;0.133678448;13.76058016
0.02;1.674804688;0;0.004747368;0.387565899;0.150207326;0.008656705
0.875;1.674804688;0;-0.006400022;-0.266853791;0.071210946;14.00480531
1.81;1.674804688;0;0.019318669;1.988682784;3.954859215;1.251552004
1.835;1.674804688;0;0.044914548;-0.844949586;0.713939803;1.273473086
2.84;1.674804688;0;-0.027598452;-2.58184152;6.665905634;2.324717222
